Y,pxR,pxG,pxB
3.106985832926233648e+00,1.640364706075783108e-01,1.948848088533702561e-01,2.006427016963899246e-01
3.136297020029310989e+00,1.647817140938558633e-01,1.957545098311507525e-01,2.015843512017743422e-01
3.165608207132388774e+00,1.655233635961967931e-01,1.966199475719418999e-01,2.025215988294729319e-01
3.194919394235466559e+00,1.662614694859118336e-01,1.974811821607417861e-01,2.034545056316643397e-01
3.224230581338543900e+00,1.669960809737444374e-01,1.983382722935349285e-01,2.043831312626543106e-01
3.253541768441621684e+00,1.677272461468941878e-01,1.991912753217100207e-01,2.053075340232714263e-01
3.282852955544699469e+00,1.684550120045378296e-01,2.000402472946702925e-01,2.062277709034665008e-01
3.312164142647777254e+00,1.691794244919200829e-01,2.008852430007262158e-01,2.071438976232037876e-01
3.341475329750855039e+00,1.699005285330852377e-01,2.017263160063542116e-01,2.080559686717265711e-01
3.370786516853932380e+00,1.706183680623141463e-01,2.025635186939001020e-01,2.089640373452757438e-01
3.400097703957010165e+00,1.713329860543295058e-01,2.033969022978022734e-01,2.098681557833352862e-01
3.429408891060087949e+00,1.720444245533272465e-01,2.042265169394044677e-01,2.107683750034738956e-01
3.458720078163165290e+00,1.727527247008892874e-01,2.050524116604250657e-01,2.116647449348491861e-01
3.488031265266243075e+00,1.734579267628305332e-01,2.058746344551453389e-01,2.125573144504364631e-01
3.517342452369320860e+00,1.741600701550281849e-01,2.066932323013763728e-01,2.134461313980405839e-01
3.546653639472398645e+00,1.748591934682816318e-01,2.075082511902603399e-01,2.143312426301474394e-01
3.575964826575476430e+00,1.755553344922453074e-01,2.083197361549596616e-01,2.152126940326665183e-01
3.605276013678553770e+00,1.762485302384781127e-01,2.091277312982839365e-01,2.160905305526157061e-01
3.634587200781631555e+00,1.769388169626472385e-01,2.099322798193027084e-01,2.169647962247946427e-01
3.663898387884709340e+00,1.776262301859253268e-01,2.107334240389886482e-01,2.178355341974914372e-01
3.693209574987786681e+00,1.783108047156158615e-01,2.115312054249344209e-01,2.187027867572662043e-01
3.722520762090864466e+00,1.789925746650403438e-01,2.123256646151836236e-01,2.195665953528501968e-01
3.751831949193942251e+00,1.796715734727196978e-01,2.131168414412136503e-01,2.204270006181998642e-01
3.781143136297020035e+00,1.803478339208801351e-01,2.139047749501084006e-01,2.212840423947417257e-01
3.810454323400097820e+00,1.810213881533119795e-01,2.146895034259539425e-01,2.221377597528423897e-01
3.839765510503175161e+00,1.816922676926097380e-01,2.154710644104911310e-01,2.229881910125365851e-01
3.869076697606252946e+00,1.823605034568180350e-01,2.162494947230560738e-01,2.238353737635442875e-01
3.898387884709330731e+00,1.830261257755093629e-01,2.170248304798381156e-01,2.246793448846065300e-01
3.927699071812408071e+00,1.836891644053172679e-01,2.177971071124840119e-01,2.255201405621680144e-01
3.957010258915485856e+00,1.843496485449459543e-01,2.185663593860745768e-01,2.263577963084331957e-01
3.986321446018563641e+00,1.850076068496792348e-01,2.193326214165003674e-01,2.271923469788214578e-01
4.015632633121641426e+00,1.856630674454086694e-01,2.200959266872596354e-01,2.280238267888456405e-01
4.044943820224719211e+00,1.863160579421987983e-01,2.208563080657028888e-01,2.288522693304369804e-01
4.074255007327796996e+00,1.869666054474110606e-01,2.216137978187454061e-01,2.296777075877383667e-01
4.103566194430873892e+00,1.876147365784000542e-01,2.223684276280692707e-01,2.305001739523872273e-01
4.132877381533951677e+00,1.882604774748022070e-01,2.231202286048347971e-01,2.313197002383079459e-01
4.162188568637029462e+00,1.889038538104307885e-01,2.238692313039203907e-01,2.321363176960323793e-01
4.191499755740107247e+00,1.895448908047938641e-01,2.246154657377100738e-01,2.329500570265679860e-01
4.220810942843185032e+00,1.901836132342476227e-01,2.253589613894445842e-01,2.337609483948294986e-01
4.250122129946262817e+00,1.908200454428023995e-01,2.260997472261541685e-01,2.345690214426516818e-01
4.279433317049340602e+00,1.914542113525913580e-01,2.268378517111881987e-01,2.353743053013989117e-01
4.308744504152418386e+00,1.920861344740159016e-01,2.275733028163572369e-01,2.361768286041865950e-01
4.338055691255496171e+00,1.927158379155805290e-01,2.283061280337017329e-01,2.369766194977286633e-01
4.367366878358573068e+00,1.933433443934268192e-01,2.290363543869014806e-01,2.377737056538259119e-01
4.396678065461650853e+00,1.939686762405804510e-01,2.297640084423396012e-01,2.385681142805072541e-01
4.425989252564728638e+00,1.945918554159191405e-01,2.304891163198323767e-01,2.393598721328376588e-01
4.455300439667806423e+00,1.952129035128728207e-01,2.312117037030388955e-01,2.401490055234041521e-01
4.484611626770884207e+00,1.958318417678658885e-01,2.319317958495607235e-01,2.409355403324917322e-01
4.513922813873961992e+00,1.964486910685109555e-01,2.326494176007437020e-01,2.417195020179606912e-01
4.543234000977039777e+00,1.970634719615618202e-01,2.333645933911918657e-01,2.425009156248353892e-01
4.572545188080116674e+00,1.976762046606360679e-01,2.340773472580040815e-01,2.432798057946151393e-01
4.601856375183194459e+00,1.982869090537132672e-01,2.347877028497435681e-01,2.440561967743168637e-01
4.631167562286272243e+00,1.988956047104185609e-01,2.354956834351485395e-01,2.448301124252588168e-01
4.660478749389350028e+00,1.995023108890987829e-01,2.362013119115944915e-01,2.456015762315944539e-01
4.689789936492427813e+00,2.001070465436963208e-01,2.369046108133154305e-01,2.463706113086052696e-01
4.719101123595505598e+00,2.007098303304303555e-01,2.376056023193933997e-01,2.471372404107603782e-01
4.748412310698583383e+00,2.013106806142913874e-01,2.383043082615233788e-01,2.479014859395512749e-01
4.777723497801661168e+00,2.019096154753534378e-01,2.390007501315618288e-01,2.486633699511093809e-01
4.807034684904738953e+00,2.025066527149131379e-01,2.396949490888659884e-01,2.494229141636132019e-01
4.836345872007815849e+00,2.031018098614584544e-01,2.403869259674307202e-01,2.501801399644926760e-01
4.865657059110893634e+00,2.036951041764758774e-01,2.410767012828303191e-01,2.509350684174372903e-01
4.894968246213971419e+00,2.042865526600988191e-01,2.417642952389708333e-01,2.516877202692146542e-01
4.924279433317049204e+00,2.048761720566033284e-01,2.424497277346602253e-01,2.524381159563047206e-01
4.953590620420126989e+00,2.054639788597571737e-01,2.431330183700012859e-01,2.531862756113577029e-01
4.982901807523204774e+00,2.060499893180249842e-01,2.438141864526141289e-01,2.539322190694793813e-01
5.012212994626282558e+00,2.066342194396361964e-01,2.444932510036927908e-01,2.546759658743504851e-01
5.041524181729359455e+00,2.072166849975193015e-01,2.451702307639020417e-01,2.554175352841850932e-01
5.070835368832437240e+00,2.077974015341060299e-01,2.458451441991193198e-01,2.561569462775338257e-01
5.100146555935515025e+00,2.083763843660103032e-01,2.465180095060265919e-01,2.568942175589353782e-01
5.129457743038592810e+00,2.089536485885873096e-01,2.471888446175567744e-01,2.576293675644230063e-01
5.158768930141670594e+00,2.095292090803731189e-01,2.478576672081999333e-01,2.583624144668887346e-01
5.188080117244748379e+00,2.101030805074118879e-01,2.485244946991728709e-01,2.590933761813112302e-01
5.217391304347826164e+00,2.106752773274717105e-01,2.491893442634569578e-01,2.598222703698506164e-01
5.246702491450903949e+00,2.112458137941549130e-01,2.498522328307079821e-01,2.605491144468143894e-01
5.276013678553981734e+00,2.118147039609037940e-01,2.505131770920417944e-01,2.612739255834991559e-01
