Distance1(cm),Distance2(cm),Image_Win1,Image_Win2,Score
50,100,FG_2_5_0.5_BG_2_5_1.0.png,FG_2_5_0.5_BG_2_5_1.0.png,0.2921904921531677
50,100,FG_2_5_0.5_BG_4_15_0.5.png,FG_2_5_0.5_BG_4_15_0.5.png,0.26018139719963074
50,100,FG_2_5_0.5_BG_4_15_1.0.png,FG_2_5_0.5_BG_4_15_1.0.png,0.24888259172439575
50,100,FG_2_5_0.5_BG_4_5_0.5.png,FG_2_5_0.5_BG_4_5_0.5.png,0.29798707365989685
50,100,FG_2_5_0.5_BG_4_5_1.0.png,FG_2_5_0.5_BG_4_5_1.0.png,0.26827535033226013
50,100,FG_2_5_1.0_BG_2_15_0.5.png,FG_2_5_1.0_BG_2_15_0.5.png,0.27108657360076904
50,100,FG_2_5_1.0_BG_2_15_1.0.png,FG_2_5_1.0_BG_2_15_1.0.png,0.2612311840057373
50,100,FG_2_5_1.0_BG_2_5_0.5.png,FG_2_5_1.0_BG_2_5_0.5.png,0.33158040046691895
50,100,FG_2_5_1.0_BG_2_5_1.0.png,FG_2_5_1.0_BG_2_5_1.0.png,0.3099220097064972
50,100,FG_2_5_1.0_BG_4_15_0.5.png,FG_2_5_1.0_BG_4_15_0.5.png,0.2666712701320648
50,100,FG_2_5_1.0_BG_4_15_1.0.png,FG_2_5_1.0_BG_4_15_1.0.png,0.25369736552238464
50,100,FG_2_5_1.0_BG_4_5_0.5.png,FG_2_5_1.0_BG_4_5_0.5.png,0.31451019644737244
50,100,FG_2_5_1.0_BG_4_5_1.0.png,FG_2_5_1.0_BG_4_5_1.0.png,0.2841515839099884
50,100,FG_4_50_0.5_BG_2_15_0.5.png,FG_4_50_0.5_BG_2_15_0.5.png,0.3885713517665863
50,100,FG_4_50_0.5_BG_2_15_1.0.png,FG_4_50_0.5_BG_2_15_1.0.png,0.3663788139820099
50,100,FG_4_50_0.5_BG_2_5_0.5.png,FG_4_50_0.5_BG_2_5_0.5.png,0.44077301025390625
50,100,FG_4_50_0.5_BG_2_5_1.0.png,FG_4_50_0.5_BG_2_5_1.0.png,0.42465150356292725
50,100,FG_4_50_0.5_BG_4_15_0.5.png,FG_4_50_0.5_BG_4_15_0.5.png,0.3864763379096985
50,100,FG_4_50_0.5_BG_4_15_1.0.png,FG_4_50_0.5_BG_4_15_1.0.png,0.3703290522098541
50,100,FG_4_50_0.5_BG_4_5_0.5.png,FG_4_50_0.5_BG_4_5_0.5.png,0.42278605699539185
50,100,FG_4_50_0.5_BG_4_5_1.0.png,FG_4_50_0.5_BG_4_5_1.0.png,0.41660115122795105
50,100,FG_4_50_1.0_BG_2_15_0.5.png,FG_4_50_1.0_BG_2_15_0.5.png,0.39143791794776917
50,100,FG_4_50_1.0_BG_2_15_1.0.png,FG_4_50_1.0_BG_2_15_1.0.png,0.3742150068283081
50,100,FG_4_50_1.0_BG_2_5_0.5.png,FG_4_50_1.0_BG_2_5_0.5.png,0.4445844888687134
50,100,FG_4_50_1.0_BG_2_5_1.0.png,FG_4_50_1.0_BG_2_5_1.0.png,0.4354901909828186
50,100,FG_4_50_1.0_BG_4_15_0.5.png,FG_4_50_1.0_BG_4_15_0.5.png,0.3916703164577484
50,100,FG_4_50_1.0_BG_4_15_1.0.png,FG_4_50_1.0_BG_4_15_1.0.png,0.3802259862422943
50,100,FG_4_50_1.0_BG_4_5_0.5.png,FG_4_50_1.0_BG_4_5_0.5.png,0.4308010935783386
50,100,FG_4_50_1.0_BG_4_5_1.0.png,FG_4_50_1.0_BG_4_5_1.0.png,0.4297170341014862
50,100,FG_4_5_0.5_BG_2_15_0.5.png,FG_4_5_0.5_BG_2_15_0.5.png,0.2655566930770874
50,100,FG_4_5_0.5_BG_2_15_1.0.png,FG_4_5_0.5_BG_2_15_1.0.png,0.25784942507743835
50,100,FG_4_5_0.5_BG_2_5_0.5.png,FG_4_5_0.5_BG_2_5_0.5.png,0.32749298214912415
50,100,FG_4_5_0.5_BG_2_5_1.0.png,FG_4_5_0.5_BG_2_5_1.0.png,0.2990429699420929
50,100,FG_4_5_0.5_BG_4_15_0.5.png,FG_4_5_0.5_BG_4_15_0.5.png,0.26429513096809387
50,100,FG_4_5_0.5_BG_4_15_1.0.png,FG_4_5_0.5_BG_4_15_1.0.png,0.2568681240081787
50,100,FG_4_5_0.5_BG_4_5_0.5.png,FG_4_5_0.5_BG_4_5_0.5.png,0.3087639808654785
50,100,FG_4_5_0.5_BG_4_5_1.0.png,FG_4_5_0.5_BG_4_5_1.0.png,0.2790624499320984
50,100,FG_4_5_1.0_BG_2_15_0.5.png,FG_4_5_1.0_BG_2_15_0.5.png,0.27312925457954407
50,100,FG_4_5_1.0_BG_2_15_1.0.png,FG_4_5_1.0_BG_2_15_1.0.png,0.2639157176017761
